------------------------------------------------------------------------------------------
Begin Training Report
------------------------------------------------------------------------------------------
Epoch [1/2000]	Loss: 6.6160	Infidelity: 0.9031	Energy difference: 0.2434
Epoch [2/2000]	Loss: 6.2839	Infidelity: 0.8312	Energy difference: 0.1627
Epoch [3/2000]	Loss: 5.9482	Infidelity: 0.7687	Energy difference: 0.1212
Epoch [4/2000]	Loss: 5.7079	Infidelity: 0.6915	Energy difference: 0.0813
Epoch [5/2000]	Loss: 5.5689	Infidelity: 0.6453	Energy difference: 0.0604
Epoch [6/2000]	Loss: 5.4824	Infidelity: 0.6260	Energy difference: 0.0526
Epoch [7/2000]	Loss: 5.4140	Infidelity: 0.6233	Energy difference: 0.0569
Epoch [8/2000]	Loss: 5.3500	Infidelity: 0.5668	Energy difference: 0.0519
Epoch [9/2000]	Loss: 5.2860	Infidelity: 0.5377	Energy difference: 0.0433
Epoch [10/2000]	Loss: 5.2212	Infidelity: 0.5173	Energy difference: 0.0433
Epoch [11/2000]	Loss: 5.1559	Infidelity: 0.4631	Energy difference: 0.0382
Epoch [12/2000]	Loss: 5.0902	Infidelity: 0.4170	Energy difference: 0.0352
Epoch [13/2000]	Loss: 5.0250	Infidelity: 0.3738	Energy difference: 0.0359
Epoch [14/2000]	Loss: 4.9623	Infidelity: 0.3531	Energy difference: 0.0338
Epoch [15/2000]	Loss: 4.9070	Infidelity: 0.3062	Energy difference: 0.0317
Epoch [16/2000]	Loss: 4.8652	Infidelity: 0.2692	Energy difference: 0.0286
Epoch [17/2000]	Loss: 4.8401	Infidelity: 0.2368	Energy difference: 0.0242
Epoch [18/2000]	Loss: 4.8280	Infidelity: 0.2344	Energy difference: 0.0253
Epoch [19/2000]	Loss: 4.8226	Infidelity: 0.2349	Energy difference: 0.0349
Epoch [20/2000]	Loss: 4.8199	Infidelity: 0.2248	Energy difference: 0.0252
Epoch [21/2000]	Loss: 4.8180	Infidelity: 0.2114	Energy difference: 0.0254
Epoch [22/2000]	Loss: 4.8165	Infidelity: 0.2122	Energy difference: 0.0327
Epoch [23/2000]	Loss: 4.8153	Infidelity: 0.2144	Energy difference: 0.0245
Epoch [24/2000]	Loss: 4.8141	Infidelity: 0.2222	Energy difference: 0.0263
Epoch [25/2000]	Loss: 4.8131	Infidelity: 0.2259	Energy difference: 0.0278
Epoch [26/2000]	Loss: 4.8122	Infidelity: 0.2282	Energy difference: 0.0248
Epoch [27/2000]	Loss: 4.8114	Infidelity: 0.2262	Energy difference: 0.0206
Epoch [28/2000]	Loss: 4.8106	Infidelity: 0.2163	Energy difference: 0.0240
Epoch [29/2000]	Loss: 4.8098	Infidelity: 0.2340	Energy difference: 0.0223
Epoch [30/2000]	Loss: 4.8092	Infidelity: 0.2025	Energy difference: 0.0234
Epoch [31/2000]	Loss: 4.8085	Infidelity: 0.2219	Energy difference: 0.0251
Epoch [32/2000]	Loss: 4.8079	Infidelity: 0.2079	Energy difference: 0.0258
Epoch [33/2000]	Loss: 4.8074	Infidelity: 0.2263	Energy difference: 0.0224
Epoch [34/2000]	Loss: 4.8069	Infidelity: 0.2175	Energy difference: 0.0244
Epoch [35/2000]	Loss: 4.8064	Infidelity: 0.2194	Energy difference: 0.0242
Epoch [36/2000]	Loss: 4.8059	Infidelity: 0.1957	Energy difference: 0.0239
Epoch [37/2000]	Loss: 4.8055	Infidelity: 0.2093	Energy difference: 0.0265
Epoch [38/2000]	Loss: 4.8051	Infidelity: 0.2173	Energy difference: 0.0224
Epoch [39/2000]	Loss: 4.8047	Infidelity: 0.1951	Energy difference: 0.0222
Epoch [40/2000]	Loss: 4.8044	Infidelity: 0.2135	Energy difference: 0.0176
Epoch [41/2000]	Loss: 4.8040	Infidelity: 0.1963	Energy difference: 0.0188
Epoch [42/2000]	Loss: 4.8037	Infidelity: 0.2253	Energy difference: 0.0228
Epoch [43/2000]	Loss: 4.8034	Infidelity: 0.2493	Energy difference: 0.0233
Epoch [44/2000]	Loss: 4.8032	Infidelity: 0.2029	Energy difference: 0.0223
Epoch [45/2000]	Loss: 4.8029	Infidelity: 0.2029	Energy difference: 0.0229
Epoch [46/2000]	Loss: 4.8027	Infidelity: 0.2059	Energy difference: 0.0215
Epoch [47/2000]	Loss: 4.8025	Infidelity: 0.2213	Energy difference: 0.0175
Epoch [48/2000]	Loss: 4.8023	Infidelity: 0.1983	Energy difference: 0.0197
Epoch [49/2000]	Loss: 4.8021	Infidelity: 0.2266	Energy difference: 0.0241
Epoch [50/2000]	Loss: 4.8019	Infidelity: 0.1945	Energy difference: 0.0218
Epoch [51/2000]	Loss: 4.8018	Infidelity: 0.2121	Energy difference: 0.0207
Epoch [52/2000]	Loss: 4.8016	Infidelity: 0.2507	Energy difference: 0.0237
Epoch [53/2000]	Loss: 4.8015	Infidelity: 0.2073	Energy difference: 0.0198
Epoch [54/2000]	Loss: 4.8014	Infidelity: 0.2096	Energy difference: 0.0165
Epoch [55/2000]	Loss: 4.8013	Infidelity: 0.2124	Energy difference: 0.0198
Epoch [56/2000]	Loss: 4.8012	Infidelity: 0.2032	Energy difference: 0.0202
Epoch [57/2000]	Loss: 4.8011	Infidelity: 0.2133	Energy difference: 0.0247
Epoch [58/2000]	Loss: 4.8010	Infidelity: 0.2277	Energy difference: 0.0235
Epoch [59/2000]	Loss: 4.8010	Infidelity: 0.2284	Energy difference: 0.0175
Epoch [60/2000]	Loss: 4.8009	Infidelity: 0.1953	Energy difference: 0.0182
Epoch [61/2000]	Loss: 4.8009	Infidelity: 0.2373	Energy difference: 0.0162
Epoch [62/2000]	Loss: 4.8008	Infidelity: 0.2026	Energy difference: 0.0182
Epoch [63/2000]	Loss: 4.8008	Infidelity: 0.2092	Energy difference: 0.0213
Epoch [64/2000]	Loss: 4.8007	Infidelity: 0.2291	Energy difference: 0.0219
Epoch [65/2000]	Loss: 4.8007	Infidelity: 0.2070	Energy difference: 0.0225
Epoch [66/2000]	Loss: 4.8006	Infidelity: 0.1977	Energy difference: 0.0183
Epoch [67/2000]	Loss: 4.8006	Infidelity: 0.1928	Energy difference: 0.0196
Epoch [68/2000]	Loss: 4.8006	Infidelity: 0.2067	Energy difference: 0.0212
Epoch [69/2000]	Loss: 4.8006	Infidelity: 0.1954	Energy difference: 0.0219
Epoch [70/2000]	Loss: 4.8005	Infidelity: 0.2095	Energy difference: 0.0194
Epoch [71/2000]	Loss: 4.8005	Infidelity: 0.1867	Energy difference: 0.0198
Epoch [72/2000]	Loss: 4.8005	Infidelity: 0.1942	Energy difference: 0.0210
Epoch [73/2000]	Loss: 4.8005	Infidelity: 0.2165	Energy difference: 0.0211
Epoch [74/2000]	Loss: 4.8004	Infidelity: 0.2217	Energy difference: 0.0165
Epoch [75/2000]	Loss: 4.8004	Infidelity: 0.1859	Energy difference: 0.0202
Epoch [76/2000]	Loss: 4.8004	Infidelity: 0.2037	Energy difference: 0.0178
Epoch [77/2000]	Loss: 4.8004	Infidelity: 0.2266	Energy difference: 0.0255
Epoch [78/2000]	Loss: 4.8003	Infidelity: 0.2030	Energy difference: 0.0228
Epoch [79/2000]	Loss: 4.8003	Infidelity: 0.1947	Energy difference: 0.0217
Epoch [80/2000]	Loss: 4.8003	Infidelity: 0.1941	Energy difference: 0.0207
Epoch [81/2000]	Loss: 4.8002	Infidelity: 0.1903	Energy difference: 0.0233
Epoch [82/2000]	Loss: 4.8002	Infidelity: 0.2189	Energy difference: 0.0224
Epoch [83/2000]	Loss: 4.8002	Infidelity: 0.2137	Energy difference: 0.0195
Epoch [84/2000]	Loss: 4.8002	Infidelity: 0.2035	Energy difference: 0.0233
Epoch [85/2000]	Loss: 4.8001	Infidelity: 0.2003	Energy difference: 0.0197
Epoch [86/2000]	Loss: 4.8001	Infidelity: 0.1813	Energy difference: 0.0217
Epoch [87/2000]	Loss: 4.8000	Infidelity: 0.2106	Energy difference: 0.0197
Epoch [88/2000]	Loss: 4.8000	Infidelity: 0.1871	Energy difference: 0.0177
Epoch [89/2000]	Loss: 4.8000	Infidelity: 0.2072	Energy difference: 0.0229
Epoch [90/2000]	Loss: 4.7999	Infidelity: 0.1990	Energy difference: 0.0200
Epoch [91/2000]	Loss: 4.7999	Infidelity: 0.2023	Energy difference: 0.0176
Epoch [92/2000]	Loss: 4.7998	Infidelity: 0.2100	Energy difference: 0.0251
Epoch [93/2000]	Loss: 4.7998	Infidelity: 0.2473	Energy difference: 0.0233
Epoch [94/2000]	Loss: 4.7997	Infidelity: 0.2228	Energy difference: 0.0267
Epoch [95/2000]	Loss: 4.7997	Infidelity: 0.1987	Energy difference: 0.0178
Epoch [96/2000]	Loss: 4.7996	Infidelity: 0.2010	Energy difference: 0.0213
Epoch [97/2000]	Loss: 4.7996	Infidelity: 0.1849	Energy difference: 0.0186
Epoch [98/2000]	Loss: 4.7995	Infidelity: 0.2159	Energy difference: 0.0214
Epoch [99/2000]	Loss: 4.7995	Infidelity: 0.2058	Energy difference: 0.0225
Epoch [100/2000]	Loss: 4.7994	Infidelity: 0.2132	Energy difference: 0.0236
Epoch [101/2000]	Loss: 4.7994	Infidelity: 0.1911	Energy difference: 0.0184
Epoch [102/2000]	Loss: 4.7993	Infidelity: 0.2022	Energy difference: 0.0156
Epoch [103/2000]	Loss: 4.7992	Infidelity: 0.2082	Energy difference: 0.0185
Epoch [104/2000]	Loss: 4.7992	Infidelity: 0.2051	Energy difference: 0.0216
Epoch [105/2000]	Loss: 4.7991	Infidelity: 0.1953	Energy difference: 0.0213
Epoch [106/2000]	Loss: 4.7991	Infidelity: 0.2132	Energy difference: 0.0168
Epoch [107/2000]	Loss: 4.7990	Infidelity: 0.1886	Energy difference: 0.0199
Epoch [108/2000]	Loss: 4.7989	Infidelity: 0.2341	Energy difference: 0.0226
Epoch [109/2000]	Loss: 4.7989	Infidelity: 0.2031	Energy difference: 0.0192
Epoch [110/2000]	Loss: 4.7988	Infidelity: 0.1919	Energy difference: 0.0164
Epoch [111/2000]	Loss: 4.7987	Infidelity: 0.2091	Energy difference: 0.0185
Epoch [112/2000]	Loss: 4.7987	Infidelity: 0.2120	Energy difference: 0.0192
Epoch [113/2000]	Loss: 4.7986	Infidelity: 0.1996	Energy difference: 0.0200
Epoch [114/2000]	Loss: 4.7985	Infidelity: 0.2092	Energy difference: 0.0207
Epoch [115/2000]	Loss: 4.7985	Infidelity: 0.1787	Energy difference: 0.0209
Epoch [116/2000]	Loss: 4.7984	Infidelity: 0.2137	Energy difference: 0.0191
Epoch [117/2000]	Loss: 4.7983	Infidelity: 0.1965	Energy difference: 0.0201
Epoch [118/2000]	Loss: 4.7983	Infidelity: 0.2227	Energy difference: 0.0199
Epoch [119/2000]	Loss: 4.7982	Infidelity: 0.2096	Energy difference: 0.0216
Epoch [120/2000]	Loss: 4.7981	Infidelity: 0.2102	Energy difference: 0.0218
Epoch [121/2000]	Loss: 4.7980	Infidelity: 0.2131	Energy difference: 0.0184
Epoch [122/2000]	Loss: 4.7980	Infidelity: 0.2190	Energy difference: 0.0202
Epoch [123/2000]	Loss: 4.7979	Infidelity: 0.2316	Energy difference: 0.0187
Epoch [124/2000]	Loss: 4.7978	Infidelity: 0.2004	Energy difference: 0.0159
Epoch [125/2000]	Loss: 4.7977	Infidelity: 0.1968	Energy difference: 0.0206
Epoch [126/2000]	Loss: 4.7977	Infidelity: 0.2108	Energy difference: 0.0184
Epoch [127/2000]	Loss: 4.7976	Infidelity: 0.2064	Energy difference: 0.0208
Epoch [128/2000]	Loss: 4.7975	Infidelity: 0.1969	Energy difference: 0.0205
Epoch [129/2000]	Loss: 4.7974	Infidelity: 0.2025	Energy difference: 0.0230
Epoch [130/2000]	Loss: 4.7974	Infidelity: 0.1973	Energy difference: 0.0183
Epoch [131/2000]	Loss: 4.7973	Infidelity: 0.1948	Energy difference: 0.0199
Epoch [132/2000]	Loss: 4.7972	Infidelity: 0.2409	Energy difference: 0.0199
Epoch [133/2000]	Loss: 4.7971	Infidelity: 0.1871	Energy difference: 0.0239
Epoch [134/2000]	Loss: 4.7971	Infidelity: 0.1940	Energy difference: 0.0208
Epoch [135/2000]	Loss: 4.7970	Infidelity: 0.1882	Energy difference: 0.0205
Epoch [136/2000]	Loss: 4.7969	Infidelity: 0.2058	Energy difference: 0.0182
Epoch [137/2000]	Loss: 4.7968	Infidelity: 0.2077	Energy difference: 0.0152
Epoch [138/2000]	Loss: 4.7968	Infidelity: 0.1779	Energy difference: 0.0183
Epoch [139/2000]	Loss: 4.7967	Infidelity: 0.1994	Energy difference: 0.0183
Epoch [140/2000]	Loss: 4.7966	Infidelity: 0.1965	Energy difference: 0.0217
Epoch [141/2000]	Loss: 4.7965	Infidelity: 0.2144	Energy difference: 0.0179
Epoch [142/2000]	Loss: 4.7964	Infidelity: 0.2297	Energy difference: 0.0196
Epoch [143/2000]	Loss: 4.7964	Infidelity: 0.2027	Energy difference: 0.0209
Epoch [144/2000]	Loss: 4.7963	Infidelity: 0.2219	Energy difference: 0.0215
